Date,RD,Temp,Prec
05/05/1973,136.626,14.525,18.375
06/05/1973,104.476,14.525,1.74
07/05/1973,70.85,14.525,0.425
08/05/1973,54.038,14.525,0.675
09/05/1973,42.661,14.525,0
10/05/1973,33.026,14.525,0
11/05/1973,26.899,14.525,0
12/05/1973,23.382,14.525,0
13/05/1973,20.123,14.525,0
14/05/1973,17.041,14.525,0
15/05/1973,15.498,14.525,0
16/05/1973,14.343,14.525,0.04
17/05/1973,15.787,14.525,4.265
18/05/1973,21.327,14.525,16.69
19/05/1973,41.607,14.525,17.055
20/05/1973,180.056,14.525,37.62
21/05/1973,178.841,14.525,10.05
22/05/1973,145.953,14.525,9.57
23/05/1973,145.583,14.525,1.445
24/05/1973,90.193,14.525,0
25/05/1973,69.662,14.525,0
26/05/1973,57.525,14.525,0
27/05/1973,49.439,14.525,0.095
28/05/1973,41.745,14.525,0
29/05/1973,32.793,14.525,0
30/05/1973,29.069,14.525,0
31/05/1973,27.243,14.525,0
01/06/1973,23.941,17.975,1.84
02/06/1973,21.648,17.975,0
03/06/1973,19.939,17.975,0.115
04/06/1973,17.655,17.975,0.94
05/06/1973,17.154,17.975,1.53
06/06/1973,16.4,17.975,0
07/06/1973,14.761,17.975,2.295
08/06/1973,14.086,17.975,3.335
09/06/1973,13.842,17.975,2.79
10/06/1973,12.699,17.975,2.475
11/06/1973,10.989,17.975,1.095
12/06/1973,10.552,17.975,2.215
13/06/1973,9.586,17.975,0.335
14/06/1973,8.719,17.975,1.64
15/06/1973,7.276,17.975,1.68
16/06/1973,6.742,17.975,3.135
17/06/1973,6.712,17.975,1.11
18/06/1973,5.876,17.975,0
19/06/1973,5.402,17.975,0
20/06/1973,4.684,17.975,0
21/06/1973,4.332,17.975,0
22/06/1973,3.868,17.975,0
23/06/1973,2.752,17.975,0
24/06/1973,2.604,17.975,0
25/06/1973,2.36,17.975,0
26/06/1973,1.779,17.975,0
27/06/1973,2.543,17.975,10.38
28/06/1973,2.625,17.975,0.695
29/06/1973,2.593,17.975,0
30/06/1973,2.828,17.975,0.01
01/07/1973,2.618,18.35,0
02/07/1973,2.219,18.35,0
03/07/1973,1.687,18.35,0
04/07/1973,1.35,18.35,0
05/07/1973,1.313,18.35,0
06/07/1973,1.104,18.35,0
07/07/1973,0.705,18.35,0
08/07/1973,1.153,18.35,0
09/07/1973,1.375,18.35,0
10/07/1973,1.087,18.35,0
11/07/1973,0.949,18.35,1.3
12/07/1973,1.136,18.35,1.84
13/07/1973,1.633,18.35,15.38
14/07/1973,2.102,18.35,0.33
15/07/1973,2.606,18.35,4.57
16/07/1973,3.091,18.35,9.975
17/07/1973,3.253,18.35,3.94
18/07/1973,3.533,18.35,2.255
19/07/1973,3.368,18.35,0
20/07/1973,2.909,18.35,0
21/07/1973,2.853,18.35,0
22/07/1973,2.7,18.35,0
23/07/1973,0.687,18.35,0
24/07/1973,1.321,18.35,0
25/07/1973,1.238,18.35,0
26/07/1973,0.711,18.35,0
27/07/1973,0.335,18.35,0
28/07/1973,0.32,18.35,0
29/07/1973,0.614,18.35,0.06
30/07/1973,0.708,18.35,0
31/07/1973,0.411,18.35,0.055
01/08/1973,0.273,20.9,0.615
02/08/1973,0.259,20.9,0
03/08/1973,0.27,20.9,0
04/08/1973,0.989,20.9,0
05/08/1973,1.212,20.9,0
06/08/1973,1.005,20.9,0
07/08/1973,0.849,20.9,0
08/08/1973,0.777,20.9,0
09/08/1973,0.77,20.9,0
10/08/1973,0.722,20.9,0
11/08/1973,0.671,20.9,0.14
12/08/1973,0.8,20.9,0
13/08/1973,0.815,20.9,0
14/08/1973,0.785,20.9,0.25
15/08/1973,0.782,20.9,0
16/08/1973,0.792,20.9,0
17/08/1973,0.745,20.9,0
18/08/1973,0.706,20.9,0
19/08/1973,0.687,20.9,0
20/08/1973,0.812,20.9,0
21/08/1973,0.872,20.9,0.105
22/08/1973,0.945,20.9,0.995
23/08/1973,0.965,20.9,0
24/08/1973,0.965,20.9,0
25/08/1973,0.955,20.9,0
26/08/1973,1.075,20.9,0
